NO.,DESCRIPTION ,PROJECT,UNIT,HARGA , SUPPLIER
104,"ULTRAFLEX 4"" AC",UPE - CUTTING TOOLS,PCS,"Rp8,000", BORNEO
105,"FLAPDISC 4"" #100",UPE - CUTTING TOOLS, PCS,"Rp8,000", BORNEO
106,SCOTE BRITE 3M,UPE - CUTTING TOOLS, PCS,"Rp12,000", BORNEO
107,"CUTTING 16"" NRS",UPE - CUTTING TOOLS, PCS,"Rp60,000", BORNEO
108,"CUTTING 14"" NRS",UPE - CUTTING TOOLS, PCS,"Rp57,000", BORNEO
109,NOZZLE LAS CO2 350A,UPE - CUTTING TOOLS, PCS,"Rp20,000", BORNEO
110,SPIDOL MARKING - YELLOW,UPE - CUTTING TOOLS, PCS,"Rp18,000", BORNEO
111,KAIN MAJUN,UPE - CUTTING TOOLS,KG,"Rp6,000", SAS
112,KOPI ,PANTRY,KG,"Rp26,100", ALFAMART
113,GULA,PANTRY,KG,"Rp17,500", ALFAMART
114,TISU TOILET & TISU WAJAH,PANTRY,PAK,"Rp44,300", ALFAMART
115,ANCHOR BOLT 10x70,Office unpacking SIM TB2, PCS,"Rp10,000", BORNEO
116,B HEX GALV M8x30 - RV RP NUT,Office unpacking SIM TB2, PCS,Rp900, BORNEO
117,LAMPU BOHLAM LED - 9W,UPE - OFFICE,PCS,"Rp20,000", BORNEO
118,LEM KOREA,UPE,PCS,"Rp9,000", BORNEO
119,INSHERT MILLING SEGITIGA (SAMPLE) SECOND,UPE - MACHINING,PCS,"Rp15,000", ELOK/LAMPURA
120,MATERAI 10.000,UPE - OFFICE, PCS,"Rp11,000", LOTUS
121,SABUN COLEK,UPE - VENTRY, PCS,"Rp2,000", ALFA/INDOMART
122,SABUN SUNLIGHT,UPE - VENTRY, PCS,"Rp5,000", ALFA/INDOMART
123,"ULTRAFLEX 4"" AC",UPE - CUTTING TOOLS,PCS,"Rp8,000", BORNEO
124,"CUTTING 16"" NRS",UPE - CUTTING TOOLS,PCS,"Rp60,000", BORNEO
125,"SARUNG TANGAN ABU""",UPE - CUTTING TOOLS,LSN,"Rp19,000", BORNEO
126,"FLAP DISC 4"" #100",UPE - CUTTING TOOLS,PCS,"Rp8,000", BORNEO
127,"CUTTING 4"" - STEEL",UPE - CUTTING TOOLS,PCS,"Rp2,500", BORNEO
128,CARBON BRUSH - CB459,UPE - CUTTING TOOLS,SET,"Rp30,000", BORNEO
129,BAUT L M4X12 HITAM,035/25 & 035/25,PCS,Rp300, ANEKA BAUT
130,KABEL DUCT 33 x 65,PANEL UNPACKING - ITP, PCS,"Rp42,500", OMEGA
131,TERMINAL BLOCK DOUBLE ROW + END PLATE,PANEL UNPACKING - ITP, PCS,"Rp2,000", OMEGA
132,KABEL 4 MM MERAH NYAF,PANEL UNPACKING - ITP, MTR,"Rp15,000", BORNEO
133,ISOLATOR BUSBAR 30 X 40,PANEL UNPACKING - ITP, PCS,"Rp7,500", BORNEO
134,SKUN O 4-5 ,PANEL UNPACKING - ITP,PAK,"Rp82,000", BORNEO
135,BUSBAR 3 X 10 2M,PANEL UNPACKING - ITP, MTR,"Rp140,000", OMEGA
136,BAUT M 5 x 10 EXAGON,PANEL UNPACKING - ITP, PCS,Rp500, BORNEO
137,BAUT M5 x 10 JP,PANEL UNPACKING - ITP, PCS,Rp100, BORNEO
138,KABEL 4 MM KUNING NYAF,PANEL UNPACKING - ITP, MTR,"Rp14,000", JB ELEKTRIK
139,KABEL 4 MM HITAM NYAF,PANEL UNPACKING - ITP, MTR,"Rp15,000", JB ELEKTRIK
140,KABEL 4 MM BIRU NYAF,PANEL UNPACKING - ITP, MTR,"Rp15,000", OMEGA
141,ENGSEL BUBUT 12mm / 1/2”,PANEL UNPACKING - ITP,SET,"Rp15,000", FAJAR JAYA
142,ENGSEL PANEL DALAM 90mm,PANEL UNPACKING - ITP, PCS,"Rp50,000", SINAR ELEKTRIK
143,"Gerinda potong 4"" STEEL",UPE - CUTTING STOCK, PCS,"Rp2,500", BORNEO
144,"Poles 4"" NRS",UPE - CUTTING STOCK, PCS,"Rp11,000", BORNEO
145,"Flap disc 4"" #100",UPE - CUTTING STOCK, PCS,"Rp8,000", BORNEO
146,"ULTRAFLEXIBLE 4"" AC",UPE - CUTTING STOCK, PCS,"Rp8,000", BORNEO
147,"Cutting wheel 16"" NRS",UPE - CUTTING STOCK, PCS,"Rp60,000", BORNEO
148,"Lakban kertas 1"" DAIMARU",UPE - CUTTING STOCK, PCS,"Rp15,000", BORNEO
149,"Refill roll 4"" kecil",UPE - CUTTING STOCK, PCS,"Rp8,000", BORNEO
150,Spidol marking kuning,UPE - CUTTING STOCK, PCS,"Rp18,000", BORNEO
151,"MATA GERINDA BRUSHING 3""",UPE - CUTTING STOCK, PCS,"Rp25,000", BORNEO
152,OLI SHEEL MOBIL GRANDVITARA HX5 15-40,UPE,BTL,"Rp400,000", JASUTRA
153,"MATA GERINDA BRUSHING 3"" KUNINGAN",UPE - CUTTING STOCK, PCS,"Rp12,000", INDAH JAYA
154,TIE MONTH TEMPEL 25X25,PANEL UNPACKING - ITP, PCS,"Rp37,000", BORNEO
155,B HEX GALV M6X10,PANEL UNPACKING - ITP, PCS,Rp200, BORNEO
156,MATA BOR 14.2 - SECOND,UPE -  MACHINING,PCS,"Rp150,000", ELOK TEKNIK
157,TAP MESIN M16 - SECOND,UPE -  MACHINING,PCS,"Rp250,000", LAMPURA
158,"PUSHLOCK 4""",PANEL UNPACKING - ITP, PCS,"Rp92,000", BORNEO
159,"PUSHLOCK 3""",PANEL UNPACKING - ITP, PCS,"Rp22,000", BORNEO
160,"VINILY KABEL 4"" - BIRU",PANEL UNPACKING - ITP,PAK,"Rp26,000", OMEGA
161,PAHAT HSS 10X10 X100,UPE -  MACHINING, PCS,"Rp100,000", ELOK TEKNIK
162,PAYUNG,UPE - SECURITY,PCS,"Rp41,000", MR DIY
163,"CUTTING 4"" STEEL",UPE - CUTTING TOOLS, PCS,"Rp2,500", BORNEO
164,"POLES 4""",UPE - CUTTING TOOLS, PCS,"Rp11,000", BORNEO
165,"ULTRAFLEX 4"" AC",UPE - CUTTING TOOLS, PCS,"Rp8,000", BORNEO
166,"CUTTING WHEEL 16"" NRS",UPE - CUTTING TOOLS, PCS,"Rp60,000", BORNEO
167,"SARUNG TANGAN ABU""",UPE - CUTTING TOOLS,LSN,"Rp19,000", BORNEO
168,LAMPU LED BOHLAM 9WATT,UPE - OFFICE, PCS,"Rp30,000", BORNEO
169,SCOTH BRITE 3M,UPE - CUTTING TOOLS,LBR,"Rp12,000", BORNEO
170,NOZZLE LAS CO 350A = 1 PCS,UPE - CUTTING TOOLS, PCS,"Rp20,000", BORNEO
171,INSULATOR 350A = 1 PCS,UPE - CUTTING TOOLS, PCS,"Rp15,000", BORNEO
172,TIP HOLDER LAS CO2 = 1 PCS,UPE - CUTTING TOOLS, PCS,"Rp15,000", BORNEO
173,CONTACTIP CO2 0.8 = 1 PCS,UPE - CUTTING TOOLS, PCS,"Rp10,000", BORNEO
174,"SOK DRAT GALV 1"" = 2 PCS",074/25, PCS,"Rp15,000", BORNEO
175,NUT M5 GALV = 10 PCS,001/26, PCS,Rp100, BORNEO
176,AS DRAT M5 GALV = 1 BTG,001/26, PCS,"Rp5,000", BORNEO
177,"SOK DRAT BESI 1"" = 2 PCS",074/25, PCS,"Rp50,000", HOKI JAYA
178,"MESIN GERINDA TANGAN - MAKITA M0900B 4""",UPE - FABRIKASI,SET,"Rp425,000", INDAH JAYA
179,INSHERT BUBUT (SAMPLE) - SECOND,UPE - MACHINING,PCS,"Rp15,000", ELOK/LAMPURA
180,"MARKING TUBE ⌀3,5 PUTIH",001/26,MTR,"Rp4,500", OMEGA
181,"MARKING TUBE ⌀4,5 PUTIH",001/26,MTR,"Rp5,000", OMEGA
182,TAP MESIN M5 SPIRAL - SECOND,CHAIN TSUBAKI,PCS,"Rp35,000", ELOK
183,STOP KONTAK DINREL FORT,UPE - ALAT KERJA, PCS,"Rp31,000", BORNEO
184,MCB 6A/2P SCHNEDER,UPE - ALAT KERJA, PCS,"Rp225,000", BORNEO
185,PILOT LAMP PANEL 220v,UPE - ALAT KERJA, PCS,"Rp45,000", JB ELEKTRIK
186,BOX LEGRAN 250X200X160,UPE - ALAT KERJA,BOX,"Rp320,000", OMEGA
187,TIE MONTH TEMPEL 25X25,001/26,PAK,"Rp32,500", OMEGA
188,"CUTTING 4""",UPE - CUTTING STOCK, PCS,"Rp2,500", BORNEO
189,"POLES 4""",UPE - CUTTING STOCK, PCS,"Rp11,000", BORNEO
190,"FLAPDISC 4""",UPE - CUTTING STOCK, PCS,"Rp8,000", BORNEO
191,"FLEXSIBLE 4""",UPE - CUTTING STOCK, PCS,"Rp8,000", BORNEO
192,MASKER,UPE - CUTTING STOCK,BOX,"Rp20,000", BORNEO
193,CAT NIPPE - BALTIC WHITE,PROJECT WASHING - 071/25,KLG,"Rp95,000", INDAH JAYA
194,THINNER NIPPE ,PROJECT WASHING - 071/25,GLN,"Rp130,000", INDAH JAYA
195,KAWAT LAS RB 26 ∅3.2,PROJECT SILO BOGASARI CILINCING,BOX,"Rp150,000", BORNEO
196,KAWAT LAS LB 52 ∅3.2,PROJECT SILO BOGASARI CILINCING,BOX,"Rp200,000", BORNEO
